ASV_ID	taxonomy
774bfd998f084280d79bcb7dcaf55942	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
95ee303ebfcf2b76a6b3ead01911ac83	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
acdaf75d43a73907bd67b3d7037f0369	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
293a4031d36c25f2a3d1dd29712481fb	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
a20a4860889f5af921fc7404e534ac9e	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
b662e247846fb018bd849a10be6af911	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
9149c1952aea4d3cb5870d2fff756d07	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
95858a4a58e8fb52fddb11a0ad699b53	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
ebd816125f2b381ed1c7025ecbdb0d5c	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
94808a25ccb80c479167a072fe1a5d4b	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Anaerococcus
41a7562b262780a3214fce5e560d1c92	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Anaerococcus
f89fd294b3849ac8774a780bc9d30c85	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Anaerococcus
0e97f7261d96b8624890f4dfb6e97201	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Anaerococcus
4b5b5d4f13cd5eb2040a750f62770028	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes
bfc172124117b5be6cfe8b0a1a952f4a	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes
5da39349b913b87b8a2db8b9ffd112f8	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes
